Issue,Volume,title,authors,views,citations
519,112,Joint Estimation of Quantile Planes Over Arbitrary Predictor Spaces,Yun Yang & Surya T. Tokdar,196,3
519,112,On Modeling and Estimation for the Relative Risk and Risk Difference,"Thomas S. Richardson, James M. Robins & Linbo Wang",474,0
519,112,Parsimonious Tensor Response Regression,Lexin Li & Xin Zhang,537,2
519,112,Estimation of Monotone Treatment Effects in Network Experiments,David Choi,493,1
519,112,Generalized Scalar-on-Image Regression Models via Total Variation,"Xiao Wang, Hongtu Zhu & for the Alzheimer’s Disease Neuroimaging Initiative",475,0
519,112,A Functional Varying-Coefficient Single-Index Model for Functional Response Data,"Jialiang Li, Chao Huang, Zhub Hongtu & for the Alzheimer’s Disease Neuroimaging Initiative",770,1
519,112,Clustering Huge Number of Financial Time Series: A Panel Data Approach With High-Dimensional Predictors and Factor Structures,Tomohiro Ando & Jushan Bai,723,1
519,112,Generalized Additive Models for Gigadata: Modeling the U.K. Black Smoke Network Daily Data,"Simon N. Wood, Zheyuan Li, Gavin Shaddick & Nicole H. Augustin",2113,3
519,112,Robust Permutation Tests For Correlation And Regression Coefficients,Cyrus J. DiCiccio & Joseph P. Romano,430,0
519,112,Estimation in the Semiparametric Accelerated Failure Time Model With Missing Covariates: Improving Efficiency Through Augmentation,Jon Arni Steingrimsson & Robert L. Strawderman,617,0
519,112,Tukey g-and-h Random Fields,Ganggang Xu & Marc G. Genton,241,2
519,112,Semiparametric Inference in a Genetic Mixture Model,"Pengfei Li, Yukun Liu & Jing Qin",619,0
519,112,Extrinsic Local Regression on Manifold-Valued Data,"Lizhen Lin, Brian St. Thomas, Hongtu Zhu & David B. Dunson",270,0
519,112,Bayesian Calibration of Inexact Computer Models,Matthew Plumlee,564,2
519,112,Estimating Population Size With Link-Tracing Sampling,Kyle Vincent & Steve Thompson,184,1
519,112,An Effective Semiparametric Estimation Approach for the Sufficient Dimension Reduction Model,Ming-Yueh Huang & Chin-Tsang Chiang,638,1
519,112,On Theoretically Optimal Ranking Functions in Bipartite Ranking,Kazuki Uematsu & Yoonkyung Lee,317,0
519,112,Joint Selection in Mixed Models using Regularized PQL,"Francis K. C. Hui, Samuel Müller & A. H. Welsh",439,2
519,112,Fixed-k Asymptotic Inference About Tail Properties,Ulrich K. Müller & Yulong Wang,162,0
519,112,A Group-Specific Recommender System,"Xuan Bi, Annie Qu, Junhui Wang & Xiaotong Shen",589,1
519,112,"Two-Level Orthogonal Screening Designs With 24, 28, 32, and 36 Runs","Eric D. Schoen, Nha Vo-Thanh & Peter Goos",146,0
519,112,Book Reviews,,71,0
518,112,Bayesian Hierarchical Multi-Population Multistate Jolly–Seber Models With Covariates: Application to the Pallid Sturgeon Population Assessment Program,Guohui Wu & Scott H. Holan,697,2
518,112,A Simultaneous Equation Approach to Estimating HIV Prevalence With Nonignorable Missing Responses,"Giampiero Marra, Rosalba Radice, Till Bärnighausen, Simon N. Wood & Mark E. McGovern",718,2
518,112,Modeling Spatial Covariance Using the Limiting Distribution of Spatio-Temporal Random Walks,Ephraim M. Hanks,489,1
518,112,Bayesian Phase I/II Biomarker-Based Dose Finding for Precision Medicine With Molecularly Targeted Agents,Beibei Guo & Ying Yuan,544,1
518,112,Landmark-Constrained Elastic Shape Analysis of Planar Curves,"Justin Strait, Sebastian Kurtek, Emily Bartha & Steven N. MacEachern",295,1
518,112,Latent Class Survival Models Linked by Principal Stratification to Investigate Heterogenous Survival Subgroups Among Individuals With Early-Stage Kidney Cancer,"Brian L. Egleston, Robert G. Uzzo & Yu-Ning Wong",410,0
518,112,Optimal Multilevel Matching in Clustered Observational Studies: A Case Study of the Effectiveness of Private Schools Under a Large-Scale Voucher System,José R. Zubizarreta & Luke Keele,387,0
518,112,A New Bayesian Test to Test for the Intractability-Countering Hypothesis,Dalia Chakrabarty,289,0
518,112,Basis Function Models for Animal Movement,Mevin B. Hooten & Devin S. Johnson,724,2
518,112,Instrumental Variable Methods for Conditional Effects and Causal Interaction in Voter Mobilization Experiments,Matthew Blackwell,787,0
518,112,Bayesian Estimation of Bipartite Matchings for Record Linkage,Mauricio Sadinle,594,1
518,112,Restoration of Monotonicity Respecting in Dynamic Regression,Yijian Huang,281,2
518,112,Independent Component Analysis via Distance Covariance,David S. Matteson & Ruey S. Tsay,951,2
518,112,Interactive Q-Learning for Quantiles,"Kristin A. Linn, Eric B. Laber & Leonard A. Stefanski",519,2
518,112,Variable Screening via Quantile Partial Correlation,"Shujie Ma, Runze Li & Chih-Ling Tsai",1029,0
518,112,A Sieve Semiparametric Maximum Likelihood Approach for Regression Analysis of Bivariate Interval-Censored Failure Time Data,"Qingning Zhou, Tao Hu & Jianguo Sun",466,2
518,112,Hierarchical Latin Hypercube Sampling,Vikram V. Garg & Roy H. Stogner,239,0
518,112,A Method of Constructing Space-Filling Orthogonal Designs,Fasheng Sun & Boxin Tang,267,0
518,112,Function-on-Function Linear Regression by Signal Compression,Ruiyan Luo & Xin Qi,642,1
518,112,Testing for Structural Breaks via Ordinal Pattern Dependence,Alexander Schnurr & Herold Dehling,319,0
518,112,Random Partition Distribution Indexed by Pairwise Information,"David B. Dahl, Ryan Day & Jerry W. Tsai",684,1
518,112,A Bayesian Multivariate Functional Dynamic Linear Model,"Daniel R. Kowal, David S. Matteson & David Ruppert",912,6
518,112,Evaluating Utility Measurement From Recurrent Marker Processes in the Presence of Competing Terminal Events,Yifei Sun & Mei-Cheng Wang,286,1
518,112,Simultaneous Inference for High-Dimensional Linear Models,Xianyang Zhang & Guang Cheng,1167,4
518,112,Change-Plane Analysis for Subgroup Detection and Sample Size Calculation,"Ailin Fan, Rui Song & Wenbin Lu",436,2
518,112,Sparse Multi-Dimensional Graphical Models: A Unified Bayesian Framework,"Yang Ni, Francesco C. Stingo & Veerabhadran Baladandayuthapani",593,1
518,112,Joint Scale-Change Models for Recurrent Events and Failure Time,"Gongjun Xu, Sy Han Chiou, Chiung-Yu Huang, Mei-Cheng Wang & Jun Yan",470,0
518,112,Fully Nonparametric Regression for Bounded Data Using Dependent Bernstein Polynomials,"Andrés F. Barrientos, Alejandro Jara & Fernando A. Quintana",421,3
518,112,Nonparametric Benefit–Risk Assessment Using Marker Process in the Presence of a Terminal Event,"Yifei Sun, Chiung-Yu Huang & Mei-Cheng Wang",245,0
518,112,Accumulation Tests for FDR Control in Ordered Hypothesis Testing,Ang Li & Rina Foygel Barber,451,1
518,112,Estimation Under Cross-Classified Sampling With Application to a Childhood Survey,"Hélène Juillard, Guillaume Chauvet & Anne Ruiz-Gazen",206,0
518,112,Variational Inference: A Review for Statisticians,"David M. Blei, Alp Kucukelbir & Jon D. McAuliffe",2157,3
518,112,Book Reviews,,200,0
518,112,Correction,"Sokbae Lee, Myung Hwan Seo & Youngki Shin",210,0
517,112,On the Reproducibility of Psychological Science,"Valen E. Johnson, Richard D. Payne, Tianying Wang, Alex Asher & Soutrik Mandal",5760,5
517,112,Robust Treatment Comparison Based on Utilities of Semi-Competing Risks in Non-Small-Cell Lung Cancer,"Thomas A. Murray, Peter F. Thall, Ying Yuan, Sarah McAvoy & Daniel R. Gomez",413,2
517,112,A Directional Mixed Effects Model for Compositional Expenditure Data,J. L. Scealy & A. H. Welsh,480,0
517,112,Bayesian Treed Calibration: An Application to Carbon Capture With AX Sorbent,"Bledar A. Konomi, Georgios Karagiannis, Kevin Lai & Guang Lin",282,1
517,112,Defining Cancer Subtypes With Distinctive Etiologic Profiles: An Application to the Epidemiology of Melanoma,"Audrey Mauguen, Emily C. Zabor, Nancy E. Thomas, Marianne Berwick, Venkatraman E. Seshan & Colin B. Begg",307,0
517,112,The Generalized Higher Criticism for Testing SNP-Set Effects in Genetic Association Studies,"Ian Barnett, Rajarshi Mukherjee & Xihong Lin",755,1
517,112,A Bayesian Race Model for Recognition Memory,"Sungmin Kim, Kevin Potter, Peter F. Craigmile, Mario Peruggia & Trisha Van Zandt",312,0
517,112,Spatiotemporal Modeling of Node Temperatures in Supercomputers,"Curtis B. Storlie, Brian J. Reich, William N. Rust, Lawrence O. Ticknor, Amanda M. Bonnie, Andrew J. Montoya & Sarah E. Michalak",261,0
517,112,"A Framework for Synthetic Control Methods With High-Dimensional, Micro-Level Data: Evaluating a Neighborhood-Specific Crime Intervention","Michael W. Robbins, Jessica Saunders & Beau Kilmer",874,0
517,112,Forecasting Generalized Quantiles of Electricity Demand: A Functional Data Approach,Brenda López Cabrera & Franziska Schulz,689,1
517,112,Fast Approximate Inference for Arbitrarily Large Semiparametric Regression Models via Message Passing,M. P. Wand,791,1
517,112,Comment,Dustin Tran & David M. Blei,233,0
517,112,Comment,Wanzhu Tu,167,0
517,112,Comment,Philip T. Reiss & Jeff Goldsmith,162,0
517,112,Comment,Simon N. Wood,180,0
517,112,Rejoinder,M. P. Wand,193,0
517,112,Residual Weighted Learning for Estimating Individualized Treatment Rules,"Xin Zhou, Nicole Mayer-Hamblett, Umer Khan & Michael R. Kosorok",626,5
517,112,Weighted Statistic in Detecting Faint and Sparse Alternatives for High-Dimensional Covariance Matrices,Qing Yang & Guangming Pan,442,0
517,112,A Multi-Resolution Approximation for Massive Spatial Datasets,Matthias Katzfuss,543,10
517,112,Dynamic Multiscale Spatiotemporal Models for Poisson Data,Thaís C. O. Fonseca & Marco A. R. Ferreira,346,1
517,112,A Dynamic Structure for High-Dimensional Covariance Matrices and Its Application in Portfolio Allocation,"Shaojun Guo, John Leigh Box & Wenyang Zhang",631,1
517,112,Nonlocal Priors for High-Dimensional Estimation,David Rossell & Donatello Telesca,472,3
517,112,Covariance Regression Analysis,"Tao Zou, Wei Lan, Hansheng Wang & Chih-Ling Tsai",1249,0
517,112,Partition MCMC for Inference on Acyclic Digraphs,Jack Kuipers & Giusi Moffa,268,2
517,112,Augmented Particle Filters,"Jonghyun Yun, Fan Yang & Yuguo Chen",427,1
517,112,Conditions for Ignoring the Missing-Data Mechanism in Likelihood Inferences for Parameter Subsets,"Roderick J. Little, Donald B. Rubin & Sahar Z. Zangeneh",500,2
517,112,Randomization Inference and Sensitivity Analysis for Composite Null Hypotheses With Binary Outcomes in Matched Observational Studies,"Colin B. Fogarty, Pixu Shi, Mark E. Mikkelsen & Dylan S. Small",175,0
517,112,Robust Jump Regressions,"Jia Li, Viktor Todorov & George Tauchen",462,2
517,112,Promoting Similarity of Sparsity Structures in Integrative Analysis With Penalization,"Yuan Huang, Qingzhao Zhang, Sanguo Zhang, Jian Huang & Shuangge Ma",386,0
517,112,Semiparametric Modeling and Estimation of the Terminal Behavior of Recurrent Marker Processes Before Failure Events,Kwun Chuen Gary Chan & Mei-Cheng Wang,231,1
517,112,Geometric Representations of Random Hypergraphs,"Simón Lunagómez, Sayan Mukherjee, Robert L. Wolpert & Edoardo M. Airoldi",382,1
517,112,Nonparametric Estimation of the Leverage Effect: A Trade-Off Between Robustness and Efficiency,Ilze Kalnina & Dacheng Xiu,340,4
517,112,A New Graph-Based Two-Sample Test for Multivariate and Object Data,Hao Chen & Jerome H. Friedman,527,1
517,112,A Concave Pairwise Fusion Approach to Subgroup Analysis,Shujie Ma & Jian Huang,547,0
517,112,Shrinkage Estimation for Multivariate Hidden Markov Models,"Mark Fiecas, Jürgen Franke, Rainer von Sachs & Joseph Tadjuidje Kamgaing",367,0
517,112,Robust Maximum Association Estimators,"Andreas Alfons, Christophe Croux & Peter Filzmoser",602,1
517,112,Cluster-Robust Bootstrap Inference in Quantile Regression Models,Andreas Hagemann,646,3
517,112,Book Reviews,,172,0
517,112,Correction,,190,0
517,112,Correction,,320,0
516,111,Appreciating Statistics,Jessica Utts,1481,0
516,111,Improving and Evaluating Topic Models and Other Models of Text,Edoardo M. Airoldi & Jonathan M. Bischof,1210,1
516,111,Comment,Matt Taddy,173,0
516,111,Comment,Aleksandrina Goeva & Eric D. Kolaczyk,127,0
516,111,Comment,David M. Blei,195,0
516,111,Rejoinder,Edoardo M. Airoldi,146,0
516,111,Model Comparison and Assessment for Single Particle Tracking in Biological Fluids,"Martin Lysy, Natesh S. Pillai, David B. Hill, M. Gregory Forest, John W. R. Mellnik, Paula A. Vasquez & Scott A. McKinley",512,4
516,111,Hierarchical Feature Selection Incorporating Known and Novel Biological Information: Identifying Genomic Features Related to Prostate Cancer Recurrence,"Yize Zhao, Matthias Chung, Brent A. Johnson, Carlos S. Moreno & Qi Long",659,1
516,111,Modeling the Evolution of Dynamic Brain Processes During an Associative Learning Experiment,Mark Fiecas & Hernando Ombao,441,3
516,111,Bayesian Methods for Nonignorable Dropout in Joint Models in Smoking Cessation Studies,"J. T. Gaskins, M. J. Daniels & B. H. Marcus",463,0
516,111,Multiple Imputation of Missing Categorical and Continuous Values via Bayesian Mixture Models With Local Dependence,Jared S. Murray & Jerome P. Reiter,622,1
516,111,Low SNR in Diffusion MRI Models,Jörg Polzehl & Karsten Tabelow,286,0
516,111,Localizing Temperature Risk,"Wolfgang Karl Härdle, Brenda López Cabrera, Ostap Okhrin & Weining Wang",354,0
516,111,Personalized Dose Finding Using Outcome Weighted Learning,"Guanhua Chen, Donglin Zeng & Michael R. Kosorok",1196,2
516,111,Comment,Tianxi Cai & Lu Tian,210,0
516,111,Comment,Jun Fan & Ming Yuan,215,0
516,111,Comment,Alexander R. Luedtke & Mark J. van der Laan,156,0
516,111,Comment,"Michael P. Wallace, Erica E. M. Moodie & David A. Stephens",124,0
516,111,Comment,Elizabeth L. Ogburn,116,0
516,111,Comment,Min Qian,140,0
516,111,Comment,Michael Rosenblum,131,0
516,111,Rejoinder,"Guanhua Chen, Donglin Zeng & Michael R. Kosorok",195,0
516,111,Smoothing Parameter and Model Selection for General Smooth Models,"Simon N. Wood, Natalya Pya & Benjamin Säfken",2977,9
516,111,Comment,Thomas Kneib,166,0
516,111,Comment,Thomas W. Yee,398,0
516,111,Comment,Sonja Greven & Fabian Scheipl,148,1
516,111,Rejoinder,"Simon N. Wood, Natalya Pya & Benjamin Säfken",176,1
516,111,Using Ranked Set Sampling With Cluster Randomized Designs for Improved Inference on Treatment Effects,"Xinlei Wang, Johan Lim & Lynne Stokes",341,3
516,111,Accelerating Asymptotically Exact MCMC for Computationally Intensive Models via Local Approximations,"Patrick R. Conrad, Youssef M. Marzouk, Natesh S. Pillai & Aaron Smith",654,5
516,111,Fast Bayesian Factor Analysis via Automatic Rotations to Sparsity,Veronika Ročková & Edward I. George,660,1
516,111,Modeling Probability Forecasts via Information Diversity,"Ville A. Satopää, Robin Pemantle & Lyle H. Ungar",401,2
516,111,Inference for Monotone Functions Under Short- and Long-Range Dependence: Confidence Intervals and New Universal Limits,"Pramita Bagchi, Moulinath Banerjee & Stilian A. Stoev",244,0
516,111,"Robust Improper Maximum Likelihood: Tuning, Computation, and a Comparison With Other Methods for Robust Gaussian Clustering",Pietro Coretto & Christian Hennig,803,4
516,111,A Bayesian Approach to Graphical Record Linkage and Deduplication,"Rebecca C. Steorts, Rob Hall & Stephen E. Fienberg",486,2
516,111,Identifiability of Normal and Normal Mixture Models with Nonignorable Missing Data,"Wang Miao, Peng Ding & Zhi Geng",635,3
516,111,Testing the Predictor Effect on a Functional Response,"Valentin Patilea, César Sánchez-Sellero & Matthieu Saumard",470,1
516,111,On SURE-Type Double Shrinkage Estimation,"Bing-Yi Jing, Zhouping Li, Guangming Pan & Wang Zhou",555,0
516,111,Extremal Depth for Functional Data and Applications,Naveen N. Narisetty & Vijayan N. Nair,400,2
516,111,Statistical Matching Analysis for Complex Survey Data With Applications,"Pier Luigi Conti, Daniela Marella & Mauro Scanu",422,2
516,111,Multitask Quantile Regression Under the Transnormal Model,"Jianqing Fan, Lingzhou Xue & Hui Zou",655,2
516,111,A Link Between the E-Value and the Robustness of Block Designs,J. D. Godolphin,169,0
516,111,Sparse Approximate Inference for Spatio-Temporal Point Process Models,"Botond Cseke, Andrew Zammit-Mangion, Tom Heskes & Guido Sanguinetti",383,0
516,111,Composite Robust Estimators for Linear Mixed Models,Claudio Agostinelli & Víctor J. Yohai,384,0
516,111,Optimal Model Averaging Estimation for Generalized Linear Models and Generalized Linear Mixed-Effects Models,"Xinyu Zhang, Dalei Yu, Guohua Zou & Hua Liang",675,3
516,111,Bayesian Nonparametric Modeling of Higher Order Markov Chains,Abhra Sarkar & David B. Dunson,415,0
516,111,Panel Data Models With Interactive Fixed Effects and Multiple Structural Breaks,"Degui Li, Junhui Qian & Liangjun Su",556,3
516,111,Sensitivity Analysis for Multiple Comparisons in Matched Observational Studies Through Quadratically Constrained Linear Programming,Colin B. Fogarty & Dylan S. Small,189,0
516,111,Matching and Weighting With Functions of Error-Prone Covariates for Causal Inference,J. R. Lockwood & Daniel F. McCaffrey,363,0
516,111,Book Reviews,,237,0
516,111,Correction,,255,0
516,111,Editorial Collaborators,,160,0
516,111,Editorial Board EOV,,86,0
515,111,Bayesian Nonparametric Estimation for Dynamic Treatment Regimes With Sequential Transition Times,"Yanxun Xu, Peter Müller, Abdus S. Wahed & Peter F. Thall",1155,5
515,111,Comment,"Qian Guan, Eric B. Laber & Brian J. Reich",166,0
515,111,Comment,"Jingxiang Chen, Yufeng Liu, Donglin Zeng, Rui Song, Yingqi Zhao & Michael R. Kosorok",148,0
515,111,Comment,Lorenzo Trippa & Giovanni Parmigiani,108,0
515,111,Rejoinder,"Yanxun Xu, Peter Müller, Abdus S. Wahed & Peter Thall",112,0
515,111,Analyzing Single-Molecule Protein Transportation Experiments via Hierarchical Hidden Markov Models,"Yang Chen, Kuang Shen, Shu-Ou Shan & S. C. Kou",453,0
515,111,Template-Based Models for Genome-Wide Analysis of Next-Generation Sequencing Data at Base-Pair Resolution,Alexander W. Blocker & Edoardo M. Airoldi,356,1
515,111,A Model of Text for Experimentation in the Social Sciences,"Margaret E. Roberts, Brandon M. Stewart & Edoardo M. Airoldi",1241,3
515,111,Estimation of Directed Acyclic Graphs Through Two-Stage Adaptive Lasso for Gene Network Inference,"Sung Won Han, Gong Chen, Myun-Seok Cheon & Hua Zhong",763,3
515,111,Detecting and Localizing Differences in Functional Time Series Dynamics: A Case Study in Molecular Biophysics,Shahin Tavakoli & Victor M. Panaretos,715,1
515,111,Probabilistic Cause-of-Death Assignment Using Verbal Autopsies,"Tyler H. McCormick, Zehang Richard Li, Clara Calvert, Amelia C. Crampin, Kathleen Kahn & Samuel J. Clark",334,3
515,111,Parameterization of White Matter Manifold-Like Structures Using Principal Surfaces,"Chen Yue, Vadim Zipunnikov, Pierre-Louis Bazin, Dzung Pham, Daniel Reich, Ciprian Crainiceanu & Brian Caffo",230,0
515,111,A Longitudinal Mixed Logit Model for Estimation of Push and Pull Effects in Residential Location Choice,"Fiona Steele, Elizabeth Washbrook, Christopher Charlton & William J. Browne",1090,0
515,111,Hierarchical Models for Semicompeting Risks Data With Application to Quality of End-of-Life Care for Pancreatic Cancer,"Kyu Ha Lee, Francesca Dominici, Deborah Schrag & Sebastien Haneuse",434,0
515,111,Model-Based Geostatistics for Prevalence Mapping in Low-Resource Settings,Peter J. Diggle & Emanuele Giorgi,685,3
515,111,Comment,Leonhard Held & Stefanie Muff,117,0
515,111,Comment,Paula Moraga,83,0
515,111,Comment: Getting into Space with a Weight Problem,"Jon Wakefield, Daniel Simpson & Jessica Godwin",223,0
515,111,Rejoinder,Peter J. Diggle & Emanuele Giorgi,120,0
515,111,Generalized Dynamic Principal Components,Daniel Peña & Victor J. Yohai,1006,1
515,111,Fast Estimation of Regression Parameters in a Broken-Stick Model for Longitudinal Data,"Ritabrata Das, Moulinath Banerjee, Bin Nan & Huiyong Zheng",443,0
515,111,Priors for Random Count Matrices Derived from a Family of Negative Binomial Processes,"Mingyuan Zhou, Oscar Hernan Madrid Padilla & James G. Scott",433,2
515,111,Constructed Second Control Groups and Attenuation of Unmeasured Biases,"Samuel D. Pimentel, Dylan S. Small & Paul R. Rosenbaum",381,1
515,111,Bayesian Nonparametric Longitudinal Data Analysis,"Fernando A. Quintana, Wesley O. Johnson, L. Elaine Waetjen & Ellen B. Gold",1311,4
515,111,Brownian Integrated Covariance Functions for Gaussian Process Modeling: Sigmoidal Versus Localized Basis Functions,Ning Zhang & Daniel W. Apley,234,3
515,111,Dynamic Covariance Models,Ziqi Chen & Chenlei Leng,942,1
515,111,Forward Variable Selection for Sparse Ultra-High Dimensional Varying Coefficient Models,"Ming-Yen Cheng, Toshio Honda & Jin-Ting Zhang",820,3
515,111,A Subsampled Double Bootstrap for Massive Data,"Srijan Sengupta, Stanislav Volgushev & Xiaofeng Shao",622,2
515,111,Coverage Inducing Priors in Nonstandard Inference Problems,Ulrich K. Müller & Andriy Norets,279,0
515,111,Classification With Unstructured Predictors and an Application to Sentiment Analysis,"Junhui Wang, Xiaotong Shen, Yiwen Sun & Annie Qu",656,0
515,111,Stabilized Nearest Neighbor Classifier and its Statistical Properties,"Will Wei Sun, Xingye Qiao & Guang Cheng",518,1
515,111,Conditional Sure Independence Screening,"Emre Barut, Jianqing Fan & Anneleen Verhasselt",840,5
515,111,Graphical Procedures for Multiple Comparisons Under General Dependence,Christopher J. Bennett & Brennan S. Thompson,377,0
515,111,Joint Inference for Competing Risks Survival Data,Gang Li & Qing Yang,548,0
515,111,Analysis of Proportional Odds Models With Censoring and Errors-in-Covariates,Samiran Sinha & Yanyuan Ma,250,0
515,111,Sufficient Reductions in Regressions With Exponential Family Inverse Predictors,"Efstathia Bura, Sabrina Duarte & Liliana Forzani",257,0
515,111,How Much Information Does Dependence Between Wavelet Coefficients Contain?,Carsten Jentsch & Claudia Kirch,302,0
515,111,Generalized Fiducial Inference: A Review and New Results,"Jan Hannig, Hari Iyer, Randy C. S. Lai & Thomas C. M. Lee",722,19
515,111,Book Reviews,,228,0
515,111,Correction to Jin-Ting Zhang’s “Approximate and Asymptotic Distributions of Chi-Squared-Type Mixtures With Applications’’,Wouter Duivesteijn,378,0
514,111,Discrete Optimization for Interpretable Study Populations and Randomization Inference in an Observational Study of Severe Sepsis Mortality,"Colin B. Fogarty, Mark E. Mikkelsen, David F. Gaieski & Dylan S. Small",571,3
514,111,A Dynamic Bayesian Model for Characterizing Cross-Neuronal Interactions During Decision-Making,"Bo Zhou, David E. Moorman, Sam Behseta, Hernando Ombao & Babak Shahbaba",514,0
514,111,Bayesian Spatial Change of Support for Count-Valued Survey Data With Application to the American Community Survey,"Jonathan R. Bradley, Christopher K. Wikle & Scott H. Holan",509,2
514,111,Detection of Infectious Disease Outbreaks From Laboratory Data With Reporting Delays,"Angela Noufaily, Paddy Farrington, Paul Garthwaite, Doyo Gragn Enki, Nick Andrews & Andre Charlett",320,1
514,111,Calibrating Functional Parameters in the Ion Channel Models of Cardiac Cells,"Matthew Plumlee, V. Roshan Joseph & Hui Yang",330,1
514,111,Identification and Estimation of Causal Mechanisms in Clustered Encouragement Designs: Disentangling Bed Nets Using Bayesian Principal Stratification,"Laura Forastiere, Fabrizia Mealli & Tyler J. VanderWeele",401,1
514,111,Using Binary Paradata to Correct for Measurement Error in Survey Data Analysis,"Damião Nóbrega Da Silva, Chris Skinner & Jae Kwang Kim",411,0
514,111,Joint Estimation of Treatment and Placebo Effects in Clinical Trials With Longitudinal Blinding Assessments,"Wei Liu, Zhiwei Zhang, R. Jason Schroeder, Martin Ho, Bo Zhang, Cynthia Long, Hui Zhang & Telba Z. Irony",448,1
514,111,Understanding the Impact of Stroke on Brain Motor Function: A Hierarchical Bayesian Approach,"Zhe Yu, Raquel Prado, Erin Burke Quinlan, Steven C. Cramer & Hernando Ombao",397,2
514,111,Modeling E-mail Networks and Inferring Leadership Using Self-Exciting Point Processes,"Eric W. Fox, Martin B. Short, Frederic P. Schoenberg, Kathryn D. Coronges & Andrea L. Bertozzi",594,0
514,111,A Multiresolution Stochastic Process Model for Predicting Basketball Possession Outcomes,"Daniel Cervone, Alex D’Amour, Luke Bornn & Kirk Goldsberry",496,0
514,111,Exact Post-Selection Inference for Sequential Regression Procedures,"Ryan J. Tibshirani, Jonathan Taylor, Richard Lockhart & Robert Tibshirani",1232,5
514,111,Comment,Lawrence D. Brown & Kory D. Johnson,203,0
514,111,Rejoinder,"Ryan J. Tibshirani, Jonathan Taylor, Richard Lockhart & Robert Tibshirani",154,0
514,111,Structured Matrix Completion with Applications to Genomic Data Integration,"Tianxi Cai, T. Tony Cai & Anru Zhang",647,0
514,111,The Controlled Thermodynamic Integral for Bayesian Model Evidence Evaluation,"Chris J. Oates, Theodore Papamarkou & Mark Girolami",401,6
514,111,Empirical Likelihood for Right Censored Lifetime Data,"Shuyuan He, Wei Liang, Junshan Shen & Grace Yang",799,1
514,111,Bayesian Conditional Tensor Factorizations for High-Dimensional Classification,Yun Yang & David B. Dunson,782,3
514,111,A General Regression Changepoint Test for Time Series Data,"Michael W. Robbins, Colin M. Gallagher & Robert B. Lund",815,0
514,111,A Class of Functional Methods for Error-Contaminated Survival Data Under Additive Hazards Models with Replicate Measurements,Ying Yan & Grace Y. Yi,396,3
514,111,Simultaneous Sparse Estimation of Canonical Vectors in the p ≫ N Setting,"Irina Gaynanova, James G. Booth & Martin T. Wells",792,2
